Distance: 0.000000, Angle: 265.375000 --- diff is 1.406250
Distance: 0.000000, Angle: 266.796875 --- diff is 1.421875
Distance: 375.750000, Angle: 264.375000 --- diff is -2.421875
Distance: 380.250000, Angle: 265.312500 --- diff is 0.937500
Distance: 392.750000, Angle: 267.015625 --- diff is 1.703125
Distance: 408.750000, Angle: 268.000000 --- diff is 0.984375
Distance: 428.250000, Angle: 269.140625 --- diff is 1.140625
Distance: 0.000000, Angle: 275.265625 --- diff is 6.125000
Distance: 0.000000, Angle: 276.687500 --- diff is 1.421875
Distance: 0.000000, Angle: 278.109375 --- diff is 1.421875
Distance: 2352.500000, Angle: 272.125000 --- diff is -5.984375
Distance: 2333.000000, Angle: 273.546875 --- diff is 1.421875
Distance: 2308.750000, Angle: 275.046875 --- diff is 1.500000
Distance: 2294.250000, Angle: 276.468750 --- diff is 1.421875
Distance: 655.250000, Angle: 279.437500 --- diff is 2.968750
Distance: 626.000000, Angle: 280.968750 --- diff is 1.531250
Distance: 0.000000, Angle: 288.109375 --- diff is 7.140625
Distance: 0.000000, Angle: 289.546875 --- diff is 1.437500
Distance: 0.000000, Angle: 290.953125 --- diff is 1.406250
Distance: 0.000000, Angle: 292.375000 --- diff is 1.421875
Distance: 0.000000, Angle: 293.796875 --- diff is 1.421875
Distance: 0.000000, Angle: 295.203125 --- diff is 1.406250
Distance: 550.750000, Angle: 291.359375 --- diff is -3.843750
Distance: 0.000000, Angle: 298.046875 --- diff is 6.687500
Distance: 0.000000, Angle: 299.468750 --- diff is 1.421875
Distance: 580.250000, Angle: 295.437500 --- diff is -4.031250
Distance: 582.750000, Angle: 296.812500 --- diff is 1.375000
Distance: 0.000000, Angle: 303.734375 --- diff is 6.921875
Distance: 586.000000, Angle: 299.546875 --- diff is -4.187500
Distance: 586.750000, Angle: 301.000000 --- diff is 1.453125
Distance: 587.750000, Angle: 302.437500 --- diff is 1.437500
Distance: 0.000000, Angle: 309.406250 --- diff is 6.968750
